cusip6,cik,name,cusip,form10KUrls
00217D,1780312,{'AST SPACEMOBILE INC'},"{'00217D100', '00217D950', '00217D900'}",https://www.sec.gov/Archives/edgar/data/1780312/000095017023011124/0000950170-23-011124.txt
00246W,1051627,{'AXT INC'},{'00246W103'},https://www.sec.gov/Archives/edgar/data/1051627/000155837023004035/0001558370-23-004035.txt
002474,8947,{'AZZ INC'},{'002474104'},https://www.sec.gov/Archives/edgar/data/8947/000000894723000042/0000008947-23-000042.txt
00258W,1821393,{'THE AARONS COMPANY INC'},{'00258W108'},https://www.sec.gov/Archives/edgar/data/1821393/000182139323000005/0001821393-23-000005.txt
002824,1800,"{'ABBOTT LABORATORIES', 'ABBOTT LABS CALL', 'Abbott Laboratories', 'ABBOTT LABS'}","{'002824950', '002824100', '000282410', '002824900', '002824101'}",https://www.sec.gov/Archives/edgar/data/1800/000162828023004026/0001628280-23-004026.txt
00287Y,1551152,"{'Abbvie, Inc.', 'ABBVIE INC PUT', 'ABBVIE INC', 'ABBVIE INC CALL'}","{'00287Y109', '00287y109', '00287Y909', '00287Y959'}",https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011.txt
00288U,1703057,"{'ABCELLERA BIOLOGICS INC', 'Abcellera Biologics Inc'}","{'00288u106', '00288U906', '00288U106', '00288U956'}",https://www.sec.gov/Archives/edgar/data/1703057/000156459023002128/0001564590-23-002128.txt
002896,1018840,"{'ABERCROMBIE & FITCH CO', 'ABERCROMBIE & FITCH CO-CL A'}","{'002896957', '002896207', '002896907'}",https://www.sec.gov/Archives/edgar/data/1018840/000101884023000011/0001018840-23-000011.txt
00289Y,318306,{'ABEONA THERAPEUTICS INC'},{'00289Y206'},https://www.sec.gov/Archives/edgar/data/318306/000149315223009381/0001493152-23-009381.txt
003783,1490054,{'APPLE INC'},{'003783310'},https://www.sec.gov/Archives/edgar/data/1490054/000109690623001489/0001096906-23-001489.txt
003881,934549,{'ACACIA RESH CORP'},{'003881307'},https://www.sec.gov/Archives/edgar/data/934549/000093454923000031/0000934549-23-000031.txt
00404A,1520697,"{'ACADIA HEALTHCARE CO', 'ACADIA HEALTHCARE COMPANY IN'}","{'00404A109', '00404a109', '00404A909'}",https://www.sec.gov/Archives/edgar/data/1520697/000156459023002737/0001564590-23-002737.txt
004239,899629,{'ACADIA REALTY TRUST'},{'004239109'},https://www.sec.gov/Archives/edgar/data/899629/000095017023005499/0000950170-23-005499.txt
00430H,727207,"{'Accelerate Diagnos', 'ACCELERATE DIAGNOSTICS INC'}","{'00430H952', '00430H102', '00430h102'}",https://www.sec.gov/Archives/edgar/data/727207/000162828023010221/0001628280-23-010221.txt
00436Q,1698991,{'ACCEL ENTERTAINMENT INC'},{'00436Q106'},https://www.sec.gov/Archives/edgar/data/1698991/000169899123000010/0001698991-23-000010.txt
00437E,1481646,{'ACCOLADE INC'},"{'00437E902', '00437E952', '00437E102'}",https://www.sec.gov/Archives/edgar/data/1481646/000155837023007137/0001558370-23-007137.txt
004397,1138723,{'ACCURAY INC'},"{'004397105', '004397905'}",https://www.sec.gov/Archives/edgar/data/1138723/000095017023047052/0000950170-23-047052.txt
00444T,1427925,{'ACELRX PHARMACEUTICALS INC'},{'00444T209'},https://www.sec.gov/Archives/edgar/data/1427925/000143774923008737/0001437749-23-008737.txt
004468,949858,{'ACHIEVE LIFE SCIENCES INC'},"{'004468500', '004468900'}",https://www.sec.gov/Archives/edgar/data/949858/000156459023003800/0001564590-23-003800.txt
00461U,1557746,"{'ACLARIS THERAPEUTICS', 'ACLARIS THERAPEUTICS INC'}","{'00461U105', '00461U905', '00461U955'}",https://www.sec.gov/Archives/edgar/data/1557746/000155837023001829/0001558370-23-001829.txt
004816,2098,{'ACME UTD CORP'},{'004816104'},https://www.sec.gov/Archives/edgar/data/2098/000156459023003422/0001564590-23-003422.txt
00484M,1008848,"{None, 'ACORDA THERAPEUTICS INC'}","{'00484M601', '00484MAC0'}",https://www.sec.gov/Archives/edgar/data/1008848/000095017023007948/0000950170-23-007948.txt
00507V,718877,{'ACTIVISION BLIZZARD INC'},"{'00507V909', '00507V109', '00507v109', '00507V959'}",https://www.sec.gov/Archives/edgar/data/718877/000162828023004842/0001628280-23-004842.txt
00507W,1388320,{'ACTINIUM PHARMACEUTICALS INC'},"{'00507W906', '00507W956', '00507W206'}",https://www.sec.gov/Archives/edgar/data/1388320/000121390023025597/0001213900-23-025597.txt
00508Y,1144215,"{'ACUITY BRANDS INC COM', 'ACUITY BRANDS INC'}","{'00508Y902', '00508Y102', '00508Y952', '00508y102'}",https://www.sec.gov/Archives/edgar/data/1144215/000114421523000090/0001144215-23-000090.txt
005098,1672013,{'ACUSHNET HLDGS CORP'},{'005098108'},https://www.sec.gov/Archives/edgar/data/1672013/000167201323000011/0001672013-23-000011.txt
005111,1522860,{'ACUTUS MED INC'},"{'005111109', '005111909'}",https://www.sec.gov/Archives/edgar/data/1522860/000162828023009077/0001628280-23-009077.txt
00547W,887247,{'ADAMIS PHARMACEUTICALS CORP'},{'00547W208'},https://www.sec.gov/Archives/edgar/data/887247/000138713123003523/0001387131-23-003523.txt
006351,2178,{'ADAMS RESOURCES & ENERGY INC'},{'006351308'},https://www.sec.gov/Archives/edgar/data/2178/000000217823000038/0000002178-23-000038.txt
00650F,1478320,"{'ADAPTIVE BIOTECHNOLOGIES CORPO', 'ADAPTIVE BIOTECHNOLOGIES COR'}","{'00650F909', '00650F959', '00650f109', '00650F109'}",https://www.sec.gov/Archives/edgar/data/1478320/000095017023002792/0000950170-23-002792.txt
00653A,1621227,{'ADAPTIMMUNE THERAPEUTICS PLC'},{'00653A107'},https://www.sec.gov/Archives/edgar/data/1621227/000155837023002907/0001558370-23-002907.txt
00653H,1823584,{'ADARAACQUISITIONCORP-CLA'},{'00653H102'},https://www.sec.gov/Archives/edgar/data/1823584/000141057823002149/0001410578-23-002149.txt
00653H,1823584,{'ADARAACQUISITIONCORP-CLA'},{'00653H102'},https://www.sec.gov/Archives/edgar/data/1823584/000141057823000458/0001410578-23-000458.txt
00653Q,1725255,"{'ADAPTHEALTH CORP', 'AdaptHealth Corp. Class A'}","{'00653Q102', '00653Q902'}",https://www.sec.gov/Archives/edgar/data/1725255/000162828023005590/0001628280-23-005590.txt
006739,1468328,{'ADDUS HOMECARE CORP'},"{'006739906', '006739106'}",https://www.sec.gov/Archives/edgar/data/1468328/000095017023005160/0000950170-23-005160.txt
00688A,1513525,{'ADIAL PHARMACEUTICALS INC'},{'00688A106'},https://www.sec.gov/Archives/edgar/data/1513525/000121390023024719/0001213900-23-024719.txt
007002,1720580,{'ADICET BIO INC'},{'007002108'},https://www.sec.gov/Archives/edgar/data/1720580/000095017023008130/0000950170-23-008130.txt
007025,1726711,{'ADITXT INC'},{'007025505'},https://www.sec.gov/Archives/edgar/data/1726711/000121390023030316/0001213900-23-030316.txt
00724F,1411207,"{'ADOBE INC', 'ADOBE SYSTEMS INCORPORATED', 'ADOBE SYS INC'}","{'00724F101', '00724F951', '00724f101', '00724F901'}",https://www.sec.gov/Archives/edgar/data/1411207/000095017023002967/0000950170-23-002967.txt
00737L,730464,{'ADTALEM GLOBAL ED INC'},"{'00737L903', '00737L103'}",https://www.sec.gov/Archives/edgar/data/730464/000155837023014509/0001558370-23-014509.txt
00751Y,1158449,"{'ADVANCE AUTO PARTS INC', 'Advance Auto Parts Inc'}","{'00751Y956', '00751Y106', '00751Y906', '00751y106'}",https://www.sec.gov/Archives/edgar/data/1158449/000115844923000035/0001158449-23-000035.txt
007588,852772,{'BECTON DICKINSON & CO'},{'007588710'},https://www.sec.gov/Archives/edgar/data/852772/000085277223000032/0000852772-23-000032.txt
00760J,1040470,{'AEHR TEST SYS'},"{'00760J908', '00760J108', '00760J958'}",https://www.sec.gov/Archives/edgar/data/1040470/000165495423011271/0001654954-23-011271.txt
00766T,868857,"{'AECOM COM', 'AECOM'}","{'00766T100', '00766t100', '00766T900', '00766T950'}",https://www.sec.gov/Archives/edgar/data/868857/000110465923118329/0001104659-23-118329.txt
00770C,1515156,{'ADVANCED EMISSIONS SOLUTIONS'},{'00770C101'},https://www.sec.gov/Archives/edgar/data/1515156/000151515623000024/0001515156-23-000024.txt
00770K,738214,"{'AEMETIS INC COM NEW', 'AEMETIS INC'}","{'00770k202', '00770K202', '00770K902'}",https://www.sec.gov/Archives/edgar/data/738214/000143774923005872/0001437749-23-005872.txt
007737,1036848,{'MEGA MATRIX CORP'},{'007737109'},https://www.sec.gov/Archives/edgar/data/1036848/000121390023025519/0001213900-23-025519.txt
00773J,1636282,{'AEGLEA BIOTHERAPEUTICS INC'},{'00773J103'},https://www.sec.gov/Archives/edgar/data/1636282/000095017023005705/0000950170-23-005705.txt
00773T,1673985,{'ADVANSIX INC'},"{'00773T901', '00773T101'}",https://www.sec.gov/Archives/edgar/data/1673985/000167398523000007/0001673985-23-000007.txt
00773U,1501756,{'ADVERUM BIOTECHNOLOGIES INC'},"{'00773U908', '00773U108'}",https://www.sec.gov/Archives/edgar/data/1501756/000162828023009899/0001628280-23-009899.txt
007800,40888,{'AEROJET ROCKETDYNE HLDGS INC'},"{'007800955', '007800905', '007800105'}",https://www.sec.gov/Archives/edgar/data/40888/000004088823000005/0000040888-23-000005.txt
007903,2488,{'ADVANCED MICRO DEVICES INC'},"{'007903907', '007903107', '007903957'}",https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047.txt
00790R,1604028,"{'ADVANCED DRAIN SYS INC DEL', 'Advanced Drainage Systems, Inc'}","{'00790r104', '00790R104', '00790R904'}",https://www.sec.gov/Archives/edgar/data/1604028/000160402823000015/0001604028-23-000015.txt
00791N,1776661,"{'ADVANTAGE SOLUTIONS INC', None}","{'00791N110', '00791N102'}",https://www.sec.gov/Archives/edgar/data/1776661/000095017023005522/0000950170-23-005522.txt
007973,927003,{'ADVANCED ENERGY INDS'},{'007973100'},https://www.sec.gov/Archives/edgar/data/927003/000155837023001498/0001558370-23-001498.txt
008073,1368622,{'AEROVIRONMENT INC'},"{'008073958', '008073108', '008073908'}",https://www.sec.gov/Archives/edgar/data/1368622/000155837023011469/0001558370-23-011469.txt
00808Y,882291,{'AETHLON MED INC'},{'00808Y307'},https://www.sec.gov/Archives/edgar/data/882291/000168316823004487/0001683168-23-004487.txt
008252,1004434,{'AFFILIATED MANAGERS GROUP IN'},{'008252108'},https://www.sec.gov/Archives/edgar/data/1004434/000100443423000010/0001004434-23-000010.txt
00832E,1823406,{'AFFINITY BANCSHARES INC'},{'00832E103'},https://www.sec.gov/Archives/edgar/data/1823406/000095017023009519/0000950170-23-009519.txt
00846U,1090872,"{'Agilent Technologies, Inc.', 'AGILENT TECHNOLOGIES INC'}","{'00846U901', '00846u101', '00846U951', '00846U101'}",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000020/0001090872-23-000020.txt
00847G,1098972,{'AGENUS INC'},"{'00847G705', '00847G905'}",https://www.sec.gov/Archives/edgar/data/1098972/000095017023008517/0000950170-23-008517.txt
00847J,78749,{'AGILYSYS INC'},"{'00847J905', '00847J955', '00847J105', '00847j105'}",https://www.sec.gov/Archives/edgar/data/78749/000095017023023196/0000950170-23-023196.txt
00847L,1261249,{'AGILE THERAPEUTICS INC'},{'00847L209'},https://www.sec.gov/Archives/edgar/data/1261249/000155837023004386/0001558370-23-004386.txt
00847X,1439222,{'AGIOS PHARMACEUTICALS INC'},"{'00847X104', '00847X954', '00847X904'}",https://www.sec.gov/Archives/edgar/data/1439222/000143922223000039/0001439222-23-000039.txt
00848H,1708599,{'AGEX THERAPEUTICS INC'},{'00848H108'},https://www.sec.gov/Archives/edgar/data/1708599/000149315223010285/0001493152-23-010285.txt
00848K,8504,{'AGEAGLE AERIAL SYS INC NEW'},{'00848K101'},https://www.sec.gov/Archives/edgar/data/8504/000165495423004388/0001654954-23-004388.txt
008492,917251,"{'Agree Realty Corp REIT', 'AGREE RLTY CORP'}","{'008492950', '008492100', '008492900'}",https://www.sec.gov/Archives/edgar/data/917251/000155837023001274/0001558370-23-001274.txt
00856G,1592016,"{'AGROFRESH SOLUTIONS COM', 'AGROFRESH SOLUTIONS INC'}","{'00856g109', '00856G109'}",https://www.sec.gov/Archives/edgar/data/1592016/000159201623000006/0001592016-23-000006.txt
00887A,1420565,{'Aileron Therapeutics Inc. (alrn)'},{'00887A105'},https://www.sec.gov/Archives/edgar/data/1420565/000095017023008767/0000950170-23-008767.txt
00901B,946644,{'AIM IMMUNOTECH INC'},{'00901B105'},https://www.sec.gov/Archives/edgar/data/946644/000149315223010351/0001493152-23-010351.txt
009066,1559720,"{None, 'AIRBNB INC'}","{'009066901', '009066AB7', '009066951', '009066101'}",https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/0001559720-23-000003.txt
00912N,1009891,{'AIR INDS GROUP'},{'00912N403'},https://www.sec.gov/Archives/edgar/data/1009891/000121390023040540/0001213900-23-040540.txt
00912X,1487712,"{'Air Lease Corp', 'AIR LEASE CORP'}","{'00912X902', '00912x302', '00912X302'}",https://www.sec.gov/Archives/edgar/data/1487712/000162828023003886/0001628280-23-003886.txt
009207,353184,{'AIR T INC'},{'009207101'},https://www.sec.gov/Archives/edgar/data/353184/000035318423000071/0000353184-23-000071.txt
00922R,894081,"{'Air Transport Services Group I', 'AIR TRANSPORT SERVICES GRP I'}","{'00922R905', '00922R105'}",https://www.sec.gov/Archives/edgar/data/894081/000089408123000035/0000894081-23-000035.txt
00938A,1272842,{'AIRGAIN INC'},{'00938A104'},https://www.sec.gov/Archives/edgar/data/1272842/000095017023008785/0000950170-23-008785.txt
00971T,1086222,{'AKAMAI TECHNOLOGIES INC'},"{'00971T901', '00971t101', '00971T101', '00971T951'}",https://www.sec.gov/Archives/edgar/data/1086222/000108622223000078/0001086222-23-000078.txt
00972D,1517022,{'AKEBIA THERAPEUTICS INC'},"{'00972D955', '00972D105', '00972D905'}",https://www.sec.gov/Archives/edgar/data/1517022/000162828023007539/0001628280-23-007539.txt
00973N,1584754,{'AKOUSTIS TECHNOLOGIES INC'},"{'00973N102', '00973N902', '00973N952'}",https://www.sec.gov/Archives/edgar/data/1584754/000121390023074139/0001213900-23-074139.txt
00973Y,1744659,{'AKERO THERAPEUTICS INC'},"{'00973Y958', '00973Y108', '00973Y908'}",https://www.sec.gov/Archives/edgar/data/1744659/000095017023008566/0000950170-23-008566.txt
01021F,1776197,{'AKUMIN INC'},{'01021F109'},https://www.sec.gov/Archives/edgar/data/1776197/000177619723000009/0001776197-23-000009.txt
010392,3153,"{'Alpine Immune Sciences, Inc.'}",{'010392595'},https://www.sec.gov/Archives/edgar/data/3153/000009212223000012/0000092122-23-000012.txt
011311,811532,{'ALAMO GROUP INC'},{'011311107'},https://www.sec.gov/Archives/edgar/data/811532/000081153223000047/0000811532-23-000047.txt
011642,1459200,{'ALARM COM HLDGS INC'},{'011642105'},https://www.sec.gov/Archives/edgar/data/1459200/000145920023000006/0001459200-23-000006.txt
012348,819793,{'Albany International Corporation Class A'},{'012348108'},https://www.sec.gov/Archives/edgar/data/819793/000081979323000010/0000819793-23-000010.txt
012653,915913,{'ALBEMARLE CORP'},"{'012653901', '012653101', '012653951'}",https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/0000915913-23-000039.txt
013091,1646972,"{'Albertsons Cos. Inc.', 'ALBERTSONS COS INC'}","{'013091103', '013091953', '013091903'}",https://www.sec.gov/Archives/edgar/data/1646972/000164697223000045/0001646972-23-000045.txt
013872,1675149,"{'Alcoa Corporation', 'ALCOA CORP'}","{'013872906', '013872106', '013872956'}",https://www.sec.gov/Archives/edgar/data/1675149/000156459023002319/0001564590-23-002319.txt
01438T,1341235,{'ALDEYRA THERAPEUTICS INC'},"{'01438T956', '01438T906', '01438T106'}",https://www.sec.gov/Archives/edgar/data/1341235/000095017023006998/0000950170-23-006998.txt
014442,1653087,{'ALECTOR INC'},"{'014442907', '014442107'}",https://www.sec.gov/Archives/edgar/data/1653087/000095017023005111/0000950170-23-005111.txt
014752,3499,{'ALEXANDERS INC'},{'014752109'},https://www.sec.gov/Archives/edgar/data/3499/000000349923000005/0000003499-23-000005.txt
015271,1035443,"{'ALEXANDRIA REAL ESTATE EQ', 'ALEXANDRIA REAL ESTATE EQ IN'}","{'015271909', '015271109', '015271959'}",https://www.sec.gov/Archives/edgar/data/1035443/000103544323000099/0001035443-23-000099.txt
016230,3545,{'ALICO INC'},{'016230104'},https://www.sec.gov/Archives/edgar/data/3545/000000354523000030/0000003545-23-000030.txt
016255,1097149,{'ALIGN TECHNOLOGY INC'},"{'016255901', '016255101', '016255951'}",https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/0001097149-23-000013.txt
016259,1267602,{'ALIMERA SCIENCES INC'},{'016259202'},https://www.sec.gov/Archives/edgar/data/1267602/000126760223000027/0001267602-23-000027.txt
01626L,1799448,{'ALIGOS THERAPEUTICS INC'},{'01626L105'},https://www.sec.gov/Archives/edgar/data/1799448/000095017023007033/0000950170-23-007033.txt
01643A,1532390,"{'ALKALINE WTR CO INC', 'ALKALINE WATER CO INC/THE'}","{'01643A306', '01643A207'}",https://www.sec.gov/Archives/edgar/data/1532390/000106299323016652/0001062993-23-016652.txt
01671P,1564824,{'ALLAKOS INC'},"{'01671P100', '01671P900'}",https://www.sec.gov/Archives/edgar/data/1564824/000095017023006248/0000950170-23-006248.txt
01741R,1018963,"{None, 'Allegheny Technologies Inc.', 'ATI INC'}","{'01741R102', '01741RAK8', '01741r102', '01741R952', '01741R902'}",https://www.sec.gov/Archives/edgar/data/1018963/000162828023005017/0001628280-23-005017.txt
01748X,1362468,{'ALLEGIANT TRAVEL CO'},"{'01748X952', '01748X902', '01748x102', '01748X102'}",https://www.sec.gov/Archives/edgar/data/1362468/000136246823000014/0001362468-23-000014.txt
018522,66756,"{'ALLETE, Inc.'}",{'018522300'},https://www.sec.gov/Archives/edgar/data/66756/000006675623000005/0000066756-23-000005.txt
018581,1101215,{'BREAD FINANCIAL HOLDINGS INC'},"{'018581908', '018581108', '018581958'}",https://www.sec.gov/Archives/edgar/data/1101215/000110121523000049/0001101215-23-000049.txt
01877R,1086600,"{'ALLIANCE RESOURCE PAR LP', 'ALLIANCE RESOURCE PARTNERS L', 'Alliance Resource Partners'}","{'01877R908', '01877R958', '01877r108', '01877R108'}",https://www.sec.gov/Archives/edgar/data/1086600/000155837023002034/0001558370-23-002034.txt
018802,939930,{'ALLIANT ENERGY CORP'},"{'018802108', '018802908', '018802958'}",https://www.sec.gov/Archives/edgar/data/939930/000093993023000052/0000939930-23-000052.txt
01881G,825313,"{'Alliance Bernstein Holding LP', 'ALLIANCEBERNSTEIN HOLDING', 'ALLIANCEBERNSTEIN HLDG L P'}","{'01881G906', '01881g106', '01881G106', '01881G956'}",https://www.sec.gov/Archives/edgar/data/825313/000082531323000011/0000825313-23-000011.txt
019170,1708341,{'ALLIED GAMING & ENTRTNMNT IN'},{'019170109'},https://www.sec.gov/Archives/edgar/data/1708341/000121390023022824/0001213900-23-022824.txt
019330,46129,{'AMOT'},{'019330109'},https://www.sec.gov/Archives/edgar/data/46129/000155837023003041/0001558370-23-003041.txt
01973R,1411207,"{'Allison Transmission Holdings,', 'ALLISON TRANSMISSION HLDGS I'}","{'01973R901', '01973R101', '01973R951', '01973r101'}",https://www.sec.gov/Archives/edgar/data/1411207/000095017023002967/0000950170-23-002967.txt
019770,1737287,{'ALLOGENE THERAPEUTICS INC'},"{'019770956', '019770906', '019770106'}",https://www.sec.gov/Archives/edgar/data/1737287/000173728723000018/0001737287-23-000018.txt
019818,1754068,{'ALLOVIR INC'},"{'019818903', '019818103'}",https://www.sec.gov/Archives/edgar/data/1754068/000095017023002830/0000950170-23-002830.txt
020002,899051,"{'ALLSTATE CORP 5.1 PERPTL', 'ALLSTATE CORP'}","{'020002951', '020002901', '020002101', '020002838'}",https://www.sec.gov/Archives/edgar/data/899051/000089905123000020/0000899051-23-000020.txt
02005N,40729,"{'ALLY FINL INC', 'ALLY FINL INC COM', 'ALLY FINANCIAL INC'}","{'02005N100', '02005n100', '02005N900', '02005NBF6', '02005N950'}",https://www.sec.gov/Archives/edgar/data/40729/000004072923000005/0000040729-23-000005.txt
02043Q,1178670,"{'ALNYLAM PHARMACEUTICALS INC', 'ALNYLAM PHARMACEUTICALS'}","{'02043q107', '02043Q107', '02043Q957', '02043Q907'}",https://www.sec.gov/Archives/edgar/data/1178670/000117867023000005/0001178670-23-000005.txt
020772,88000,{'ALPHA PRO TECH LTD'},"{'020772909', '020772959', '020772109'}",https://www.sec.gov/Archives/edgar/data/88000/000095017023010594/0000950170-23-010594.txt
02079K,1652044,"{'Alphabet Inc', 'ALPHABET INC. CLASS A', 'Alphabet Inc. Class C', 'ALPHABET INC', 'Alphabet Inc. Class A'}","{'02079K305', '02079K955', '02079K107', '02079K957', '02079k305', '02079k107', '02079K905', '02079K907'}",https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016.txt
02081G,1350653,"{'ALPHATEC HLDGS INC', 'ALPHATEC HLDGS INC COM NEW', 'Alphatec Holdings, Inc.'}","{'02081G201', '02081g201', '02081G901'}",https://www.sec.gov/Archives/edgar/data/1350653/000095017023005175/0000950170-23-005175.txt
02083G,1626199,{'ALPINE IMMUNE SCIENCES INC'},{'02083G100'},https://www.sec.gov/Archives/edgar/data/1626199/000162619923000037/0001626199-23-000037.txt
02083X,1786117,"{'ALPINE INCOME PROPERTY TRUST', 'ALPINE INCOME PPTY TR INC'}","{'02083X103', '02083x103'}",https://www.sec.gov/Archives/edgar/data/1786117/000155837023001074/0001558370-23-001074.txt
02128L,1759824,"{'ALTA EQUIPMENT GROUP', 'ALTA EQUIP GROUP INC PFD', 'ALTA EQUIPMENT GROUP INC'}","{'02128L205', '02128L106', '02128l106'}",https://www.sec.gov/Archives/edgar/data/1759824/000095017023007039/0000950170-23-007039.txt
021369,1701732,{'ALTAIR ENGINEERING INC   A'},{'021369103'},https://www.sec.gov/Archives/edgar/data/1701732/000095017023004281/0000950170-23-004281.txt
021513,778164,{'ALTO INGREDIENTS INC'},"{'021513956', '021513906', '021513106'}",https://www.sec.gov/Archives/edgar/data/778164/000121390023019976/0001213900-23-019976.txt
02153X,1555074,{'ALTISOURCE ASSET MGMT CORP'},{'02153X108'},https://www.sec.gov/Archives/edgar/data/1555074/000155507423000012/0001555074-23-000012.txt
02155H,1326190,"{'ALTIMMUNE INC', 'Altimmune, Inc.'}","{'02155H950', '02155H900', '02155H200'}",https://www.sec.gov/Archives/edgar/data/1326190/000132619023000008/0001326190-23-000008.txt
02156B,1689923,"{'ALTERYX INC   CLASS A', 'ALTERYX INC CLASS A COMMON STO', 'ALTERYX INC'}","{'02156B903', '02156b103', '02156B953', '02156B103'}",https://www.sec.gov/Archives/edgar/data/1689923/000168992323000012/0001689923-23-000012.txt
02156K,1702780,"{'ALTICE U S A INC CLASS A', 'ALTICE USA INC'}","{'02156K953', '02156K903', '02156k103', '02156K103'}",https://www.sec.gov/Archives/edgar/data/1702780/000162828023004614/0001628280-23-004614.txt
02208R,1374535,"{'AIMC', 'ALTRA INDL MOTION CORP'}","{'02208R106', '02208r106'}",https://www.sec.gov/Archives/edgar/data/1374535/000095017023005578/0000950170-23-005578.txt
02209S,764180,"{'Altria Group Inc.', 'ALTRIA GROUP INC'}","{'02209S903', '02209S103', '02209S953', '02209s103'}",https://www.sec.gov/Archives/edgar/data/764180/000076418023000020/0000764180-23-000020.txt
02215L,1692787,"{'KINETIK HOLDINGS INC', 'Kinetik Holdings'}","{'02215l209', '02215L209'}",https://www.sec.gov/Archives/edgar/data/1692787/000169278723000009/0001692787-23-000009.txt
023111,897448,{'AMARIN CORP PLC'},"{'023111906', '023111206', '023111956'}",https://www.sec.gov/Archives/edgar/data/897448/000095017023005336/0000950170-23-005336.txt
023135,1018724,"{'AMAZON COM INC', 'AMAZON COM INC CALL'}","{'023135906', '023135106', '023135956'}",https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004.txt
023139,874501,"{'AMBAC FINL GROUP INC', 'AMBAC FINANCIAL GROUP INC'}","{'023139884', '023139904'}",https://www.sec.gov/Archives/edgar/data/874501/000087450123000040/0000874501-23-000040.txt
023164,20639,{'AMBASE CORP COM'},{'023164106'},https://www.sec.gov/Archives/edgar/data/20639/000114036123014268/0001140361-23-014268.txt
